Location,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful,Date
National,51,82.30%,11,17.70%,"9,087",75.60%,"2,930",24.40%,736,72.00%,286,28.00%,"1,715",85.80%,284,14.20%,522,79.00%,139,21.00%,"11,057",91.70%,998,8.30%,846,86.10%,137,13.90%,"2,693",85.10%,472,14.90%,"4,988",94.20%,305,5.80%,"4,752",85.60%,797,14.40%,"3,291",84.90%,586,15.10%,"12,945",89.80%,"1,466",10.20%,890,100.00%,1/1/2014
Avon and Somerset,0,-,0,-,228,78.60%,62,21.40%,35,67.30%,17,32.70%,49,98.00%,1,2.00%,8,100.00%,0,0.00%,338,91.40%,32,8.60%,18,100.00%,0,0.00%,93,86.90%,14,13.10%,148,97.40%,4,2.60%,123,81.50%,28,18.50%,63,87.50%,9,12.50%,256,86.50%,40,13.50%,20,100.00%,1/1/2014
Bedfordshire,0,0.00%,1,100.00%,68,70.10%,29,29.90%,2,66.70%,1,33.30%,7,63.60%,4,36.40%,16,69.60%,7,30.40%,75,94.90%,4,5.10%,17,85.00%,3,15.00%,22,73.30%,8,26.70%,31,91.20%,3,8.80%,30,76.90%,9,23.10%,13,86.70%,2,13.30%,171,92.90%,13,7.10%,12,100.00%,1/1/2014
Cambridgeshire,0,-,0,-,101,82.80%,21,17.20%,10,76.90%,3,23.10%,18,81.80%,4,18.20%,6,60.00%,4,40.00%,148,90.80%,15,9.20%,10,71.40%,4,28.60%,30,90.90%,3,9.10%,47,97.90%,1,2.10%,37,94.90%,2,5.10%,28,75.70%,9,24.30%,103,86.60%,16,13.40%,14,100.00%,1/1/2014
Cheshire,0,-,0,-,170,81.00%,40,19.00%,15,93.80%,1,6.30%,38,88.40%,5,11.60%,10,100.00%,0,0.00%,205,97.60%,5,2.40%,14,93.30%,1,6.70%,39,92.90%,3,7.10%,64,95.50%,3,4.50%,77,90.60%,8,9.40%,50,90.90%,5,9.10%,264,94.30%,16,5.70%,13,100.00%,1/1/2014
Cleveland,2,40.00%,3,60.00%,119,73.00%,44,27.00%,11,64.70%,6,35.30%,36,94.70%,2,5.30%,3,60.00%,2,40.00%,334,91.50%,31,8.50%,11,78.60%,3,21.40%,46,78.00%,13,22.00%,65,97.00%,2,3.00%,123,82.00%,27,18.00%,34,70.80%,14,29.20%,228,93.40%,16,6.60%,3,100.00%,1/1/2014
Cumbria,0,-,0,-,113,89.70%,13,10.30%,4,57.10%,3,42.90%,16,100.00%,0,0.00%,1,100.00%,0,0.00%,115,94.30%,7,5.70%,6,100.00%,0,0.00%,38,92.70%,3,7.30%,52,98.10%,1,1.90%,78,97.50%,2,2.50%,52,91.20%,5,8.80%,112,94.10%,7,5.90%,12,100.00%,1/1/2014
Derbyshire,0,0.00%,1,100.00%,135,69.90%,58,30.10%,22,75.90%,7,24.10%,36,90.00%,4,10.00%,5,71.40%,2,28.60%,194,91.90%,17,8.10%,15,100.00%,0,0.00%,53,81.50%,12,18.50%,86,90.50%,9,9.50%,59,79.70%,15,20.30%,28,70.00%,12,30.00%,251,96.50%,9,3.50%,13,100.00%,1/1/2014
Devon and Cornwall,0,-,0,-,220,77.50%,64,22.50%,16,84.20%,3,15.80%,25,86.20%,4,13.80%,10,100.00%,0,0.00%,199,89.60%,23,10.40%,18,90.00%,2,10.00%,74,89.20%,9,10.80%,96,95.00%,5,5.00%,83,88.30%,11,11.70%,75,84.30%,14,15.70%,410,93.00%,31,7.00%,10,100.00%,1/1/2014
Dorset,0,-,0,-,87,75.00%,29,25.00%,6,46.20%,7,53.80%,20,95.20%,1,4.80%,6,100.00%,0,0.00%,96,95.00%,5,5.00%,4,100.00%,0,0.00%,30,88.20%,4,11.80%,47,90.40%,5,9.60%,42,84.00%,8,16.00%,61,81.30%,14,18.70%,112,88.20%,15,11.80%,7,100.00%,1/1/2014
